mp3_title	youtube_title	used_query	youtube_url
Jalebi baby (slowed)(MP3_160K)	Tesher - Jalebi Baby (Original Version) (Official Lyric Video)	Jalebi baby (slowed)(MP3_160K)	https://www.youtube.com/watch?v=IFtwhMK64H8
Jujutsu Kaisen - Opening 1 Full『Kaikai Kitan』by Eve (Lyrics KAN_ROM_ENG)(MP3_160K)	Jujutsu Kaisen - OP 1 Full - Kaikai Kitan by Eve (Lyrics)	Jujutsu Kaisen - Opening 1 Full『Kaikai Kitan』by Eve (Lyrics KAN_ROM_ENG)(MP3_160K)	https://www.youtube.com/watch?v=mpJIBY6eg-8
Jujutsu Kaisen - Opening 1 _ 4K _ 60FPS _ Creditless _(MP3_160K)	Parasyte OP — Let me Hear | Lyrics · Sub Español · Romaji	Jujutsu Kaisen - Opening 1 _ 4K _ 60FPS _ Creditless _(MP3_160K)	https://www.youtube.com/watch?v=vXGlZ7mJkLs
Jujutsu Kaisen - Opening 3 _ 4K _ 60FPS _ Creditless _(MP3_160K)	Jujutsu Kaisen - Opening 3 【Ao No Sumika】 4K 60FPS Creditless | CC	Jujutsu Kaisen - Opening 3 60FPS Creditless	https://www.youtube.com/watch?v=YY6huNJytxc
Jujutsu Kaisen Season 2 OP_Opening 2 - SPECIALZ(MP3_160K)	Jujutsu Kaisen Season 2 OP/Opening - Ao no sumika	Jujutsu Kaisen Season 2 OP_Opening 2 - SPECIALZ(MP3_160K)	https://www.youtube.com/watch?v=AQcOdxEmfEg
K_DA - VILLAIN (Lyrics) ft. Madison Beer_ Kim Petras(M4A_128K)	K/DA - VILLAIN ft. Madison Beer and Kim Petras (Official Audio)	K DA - VILLAIN ft	https://www.youtube.com/watch?v=tzug3Dm37NQ
Kaoru Hana wa Rin to Saku - Ending FULL ＂Hare no Hi ni＂ by Reira Ushio (Lyrics)	汐れいら / ハレの日に【Official Music Video】TVアニメ『薫る花は凛と咲く』エンディングテーマ	Kaoru Hana wa Rin to Saku - Ending FULL ＂Hare no Hi ni＂ by Reira Ushio (Lyrics)	https://www.youtube.com/watch?v=VuKSlOT__9s
Kaoru Hana wa Rin to Saku - Opening FULL ＂Manazashi wa Hikari＂ by Tatsuya Kitani (Lyrics)	Kaoru Hana wa Rin to Saku OP / Opening "Manazashi wa Hikari" by Tatsuya Kitani [4K 60FPS]	Kaoru Hana wa Rin to Saku - Opening FULL ＂Manazashi wa Hikari＂ by Tatsuya Kitani (Lyrics)	https://www.youtube.com/watch?v=GTR_uMnkGes
Khola Janala Lyrics (খোলা জানালা) Tahsin Ahmed(M4A_128K)	Utshorgo by Tasnif Zaman | Bangla Lyrics | BANGLA VIBES |	Khola Janala Lyrics (খোলা জানালা) Tahsin Ahmed(M4A_128K)	https://www.youtube.com/watch?v=hdvnZ0X6P74
Kodom - Blue Jeans (Reverb)_ Use Headphone(MP3_160K)	Eak guccoh kodom || একগুচ্ছো কদম হাতে || Blue Jeans - Kodom Lofi || Neon Lofi Box.	Kodom - Blue Jeans Use Headphone	https://www.youtube.com/watch?v=e0OetDBYpWo
Koven Wei & SUGAR - Velvet (Official Performance Video)	Koven Wei & SUGAR - Velvet (Official Performance Video)	Koven Wei & SUGAR - Velvet (Official Performance Video)	https://www.youtube.com/watch?v=fDIXE9_HFjs
LET THE WORLD BURN	LET THE WORLD BURN (Official Music Video)	LET THE WORLD BURN	https://www.youtube.com/watch?v=fdJrSjMgPFE
Lady Gaga_ Bruno Mars - Die With A Smile (Lyrics)(MP3_160K)	Lady Gaga, Bruno Mars - Die With A Smile (Official Music Video)	Lady Gaga_ Bruno Mars - Die With A Smile (Lyrics)(MP3_160K)	https://www.youtube.com/watch?v=kPa7bsKwL-c
Laufey - Lover Girl	Laufey - Lover Girl (Official Music Video)	Laufey - Lover Girl	https://www.youtube.com/watch?v=obLSGG-oEyw
